Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,big_chances_created,attempted_passes,completed_passes,was_home,clean_sheets,assists,open_play_crosses,dribbles
512,21.1,67.0,58.9,85.0,0.2,Jes,58,MD,STK,326,53,3.6,0,,0,0,0,True,0,0,0,0
513,12.3,66.6,46.8,9.0,0.1,Martins Indi,50,DF,STK,301,59,1.0,0,0,0,0,0,True,0,0,0,0
2,17.2,172.4,0.0,0.0,1.3,Cech,55,GK,ARS,630,151,4.9,6,,0,19,12,True,1,0,0,0
4,15.1,109.6,19.6,21.0,0.7,Koscielny,60,DF,ARS,360,106,4.8,0,75,0,0,0,True,0,0,0,0
518,24.4,94.0,32.0,118.0,0.3,Wood,66,ST,BUR,389,58,4.2,2,,0,34,15,False,1,0,0,1
7,31.6,78.4,124.4,113.0,1.4,Bellern,59,DF,ARS,630,148,4.7,11,,0,47,37,True,1,1,0,1
8,13.3,64.8,37.6,31.0,0.5,Gibbs,50,DF,WBA,297,50,2.3,1,100,0,25,18,True,0,0,0,4
10,31.4,205.0,65.3,43.0,1.9,Monreal,55,DF,ARS,630,197,5.9,15,,0,105,102,True,1,0,0,0
11,9.9,51.6,29.6,18.0,0.4,Holding,47,DF,ARS,246,60,2.0,6,,0,99,88,True,1,0,0,1
12,24.6,138.2,38.4,69.0,1.1,Mustafi,54,DF,ARS,450,128,5.2,6,100,0,92,87,True,1,0,0,0
13,31.6,127.4,103.9,84.0,0.9,Kolasinac,60,DF,ARS,515,162,5.8,6,,1,38,34,True,1,0,0,0
14,34.9,64.0,154.8,129.0,0.3,Snchez,119,MD,ARS,272,58,3.0,6,100,1,51,39,True,1,1,0,4
527,11.9,33.4,16.6,69.0,0.5,Carrillo,55,MD,WAT,370,49,2.6,2,,0,42,36,False,0,0,0,1
16,34.8,55.8,226.5,66.0,0.0,zil,93,MD,ARS,367,63,1.8,0,0,0,0,0,True,0,0,0,0
18,41.8,123.0,95.3,199.0,0.6,Ramsey,71,MD,ARS,494,102,3.9,3,100,0,75,65,True,1,0,0,1
19,26.8,86.8,102.5,81.0,0.2,Chamberlain,58,MD,LIV,314,75,1.4,1,,0,4,4,False,0,0,0,0
532,3.4,16.0,9.6,8.0,-0.1,Aurier,59,DF,TOT,96,2,-0.5,0,0,0,0,0,False,0,0,0,0
21,19.2,61.0,76.3,55.0,0.8,Iwobi,51,MD,ARS,160,54,4.3,9,75,0,42,38,True,1,0,0,2
22,12.8,41.4,64.3,23.0,0.3,Elneny,45,MD,ARS,173,38,2.3,1,,0,7,7,True,0,0,0,0
23,43.0,121.8,217.3,91.0,0.5,Xhaka,55,MD,ARS,610,112,3.6,3,,0,94,80,True,1,0,1,1
25,19.0,48.4,76.4,65.0,0.1,Giroud,83,ST,ARS,133,47,1.6,1,100,0,3,3,True,0,0,0,0
26,41.1,144.6,77.5,189.0,0.1,Welbeck,74,ST,ARS,400,109,5.4,0,0,0,0,0,True,0,0,0,0
28,54.2,168.2,111.3,264.0,0.5,Lacazette,104,ST,ARS,487,136,4.6,2,,0,19,15,True,1,0,0,0
29,16.4,165.0,0.0,0.0,0.7,Begovic,45,GK,BOU,630,124,2.9,6,,0,15,8,True,1,0,0,0
542,7.1,11.8,15.1,52.0,0.3,Bony,60,ST,SWA,168,15,1.8,1,,0,11,6,False,0,0,0,0
32,12.7,95.6,12.2,20.0,0.7,Francis,44,DF,BOU,394,75,2.2,6,100,0,66,46,True,1,0,0,0
33,14.4,73.6,23.3,47.0,0.1,Steve Cook,49,DF,BOU,371,44,0.8,0,100,0,0,0,True,0,0,0,0
34,31.6,154.6,116.7,45.0,1.0,Daniels,49,DF,BOU,630,136,3.6,6,,0,63,51,True,1,0,2,1
35,16.2,85.4,66.1,10.0,0.6,Adam Smith,48,DF,BOU,550,95,1.7,6,100,0,59,50,True,1,0,0,0
36,2.5,22.6,0.3,2.0,0.0,Mings,44,DF,BOU,135,17,0.0,0,0,0,0,0,True,0,0,0,0
38,20.1,153.0,19.0,29.0,0.8,Ak,49,DF,BOU,622,120,2.4,9,100,0,52,44,True,1,0,0,0
39,13.8,62.8,39.6,34.0,0.1,Arter,49,MD,BOU,450,63,1.6,0,0,0,0,0,True,0,0,0,0
40,17.2,22.8,74.0,79.0,0.3,Pugh,48,MD,BOU,233,18,1.5,2,,0,41,36,True,1,0,0,0
41,25.6,139.4,69.3,47.0,1.1,Surman,46,MD,BOU,540,99,3.5,3,,0,59,49,True,1,0,0,0
42,11.1,32.2,31.4,48.0,0.2,Stanislas,59,MD,BOU,177,23,2.0,3,100,0,49,42,True,1,0,0,1
43,8.5,36.2,20.6,28.0,0.2,Gosling,49,MD,BOU,271,34,1.8,0,50,0,0,0,True,0,0,0,0
45,23.7,70.2,115.7,52.0,0.7,Ibe,49,MD,BOU,292,52,2.2,1,,0,14,10,True,0,0,0,1
46,6.4,20.4,17.6,26.0,0.2,Lewis Cook,44,MD,BOU,90,23,3.0,3,,0,69,59,True,1,0,0,6
47,14.3,18.6,55.6,69.0,0.2,Fraser,53,MD,BOU,270,32,1.6,1,100,0,3,3,True,0,0,0,0
49,10.1,13.8,20.6,67.0,0.2,Afobe,57,ST,BOU,177,20,1.2,1,100,0,5,5,True,0,0,0,1
51,42.8,96.4,102.7,229.0,0.5,King,72,ST,BOU,618,64,2.7,2,100,1,35,24,True,1,0,0,2
52,22.9,52.0,68.9,111.0,0.5,Defoe,78,ST,BOU,431,57,2.4,2,100,0,12,10,True,1,0,0,0
54,12.6,126.6,0.0,0.0,1.0,Ryan,45,GK,BHA,630,122,3.4,3,,0,33,9,False,0,0,0,0
55,29.2,171.6,28.0,92.0,0.6,Dunk,44,DF,BHA,630,116,2.3,1,,0,32,25,False,0,0,0,1
56,38.0,197.2,22.5,160.0,0.4,Duffy,45,DF,BHA,630,117,2.7,0,,0,23,21,False,0,0,0,0
58,12.7,84.8,39.1,2.0,0.6,Bruno,45,DF,BHA,466,92,2.8,1,100,0,28,23,False,0,0,0,0
59,2.0,15.8,2.2,2.0,0.1,Bong,44,DF,BHA,90,13,1.0,1,100,0,32,23,False,0,0,0,3
60,3.6,28.8,4.7,2.0,0.1,Rosenior,40,DF,BHA,163,22,1.0,0,,0,0,0,False,0,0,0,0
522,10.0,24.6,27.2,49.0,0.5,Sabiri,50,MD,HUD,158,24,2.7,0,,0,0,0,True,0,0,0,0
62,21.4,47.4,102.7,64.0,0.3,Knockaert,57,MD,BHA,381,51,1.7,1,100,0,9,6,False,0,0,0,0
63,25.5,128.4,50.9,75.0,0.7,Stephens,45,MD,BHA,630,111,2.7,2,,0,50,45,False,0,0,0,1
