Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,big_chances_created,attempted_passes,completed_passes,was_home,clean_sheets,assists,open_play_crosses,dribbles
2,17.9,179.8,0.0,0.0,0.8,Cech,55,GK,ARS,720,162,4.4,1,,0,27,12,False,0,0,0,0
4,18.0,137.2,20.9,21.0,0.5,Koscielny,60,DF,ARS,444,123,4.2,2,50,0,66,58,False,0,0,0,0
5,9.4,76.4,0.5,17.0,0.6,Mertesacker,49,DF,ARS,90,32,9.0,9,100,0,39,31,False,0,0,0,0
7,33.8,79.8,139.0,119.0,1.1,Bellern,59,DF,ARS,720,156,4.3,1,,0,62,51,False,0,0,0,0
8,16.5,78.6,53.8,33.0,0.3,Gibbs,50,DF,WBA,387,62,2.2,2,100,0,29,21,False,0,0,1,1
10,33.4,220.8,66.4,46.0,1.4,Monreal,55,DF,ARS,720,209,5.3,1,,0,56,48,False,0,0,0,0
11,10.4,56.6,29.6,18.0,0.5,Holding,47,DF,ARS,251,65,1.8,1,,0,3,1,False,0,0,0,0
12,24.6,138.2,38.4,69.0,0.7,Mustafi,54,DF,ARS,450,128,5.2,0,0,0,0,0,False,0,0,0,0
13,33.2,133.4,107.6,90.0,0.7,Kolasinac,60,DF,ARS,605,171,5.1,1,75,0,39,29,False,0,0,0,0
14,34.9,64.0,154.8,129.0,0.3,Snchez,119,MD,ARS,272,58,3.0,0,100,0,0,0,False,0,0,0,0
16,39.6,63.0,250.3,83.0,0.1,zil,93,MD,ARS,396,66,1.7,1,100,1,10,8,False,0,0,0,0
18,41.8,123.0,95.3,199.0,0.4,Ramsey,71,MD,ARS,494,102,3.9,0,100,0,0,0,False,0,0,0,0
19,30.8,93.8,135.1,81.0,0.2,Chamberlain,57,MD,LIV,326,82,1.4,1,,0,5,4,True,0,0,1,1
21,26.8,74.4,111.4,82.0,0.7,Iwobi,51,MD,ARS,250,67,3.8,2,100,1,57,50,False,0,0,1,1
22,14.8,51.0,74.1,24.0,0.4,Elneny,45,MD,ARS,263,54,2.2,2,,0,66,61,False,0,0,0,0
23,50.5,160.6,237.1,107.0,0.7,Xhaka,55,MD,ARS,700,132,3.8,5,,0,71,54,False,0,1,0,0
25,21.2,50.6,79.2,82.0,0.1,Giroud,83,ST,ARS,155,48,1.5,1,100,0,11,6,False,0,0,0,0
26,46.0,153.0,111.6,195.0,0.1,Welbeck,74,ST,ARS,460,118,4.8,2,100,0,20,18,False,1,0,0,0
28,55.9,173.0,121.3,266.0,0.5,Lacazette,104,ST,ARS,554,144,4.3,2,,0,25,15,False,1,0,0,1
29,20.8,198.6,10.0,0.0,0.7,Begovic,45,GK,BOU,720,140,2.8,2,,0,26,6,False,0,0,0,0
32,15.7,123.4,12.5,22.0,0.7,Francis,44,DF,BOU,484,86,2.2,2,100,0,27,18,False,0,0,0,0
33,17.4,103.2,23.3,47.0,0.1,Steve Cook,49,DF,BOU,461,52,0.8,1,100,0,14,9,False,0,0,0,0
34,32.5,161.8,118.3,45.0,1.0,Daniels,49,DF,BOU,720,143,3.4,2,,0,27,22,False,0,0,0,0
35,18.7,95.4,81.4,10.0,0.6,Adam Smith,48,DF,BOU,624,100,1.6,1,100,0,18,14,False,0,0,1,0
36,2.5,22.6,0.3,2.0,0.0,Mings,44,DF,BOU,135,17,0.0,0,0,0,0,0,False,0,0,0,0
38,22.6,175.2,19.3,31.0,0.8,Ak,49,DF,BOU,712,134,2.4,2,100,0,27,19,False,0,0,0,0
39,13.8,62.8,39.6,34.0,0.0,Arter,49,MD,BOU,450,63,1.6,0,100,0,0,0,False,0,0,0,0
40,17.2,22.8,74.0,79.0,0.1,Pugh,48,MD,BOU,233,18,1.5,0,,0,0,0,False,0,0,0,0
41,26.4,146.2,70.8,47.0,0.5,Surman,46,MD,BOU,630,103,3.3,2,,0,26,21,False,0,0,0,0
42,14.1,36.4,37.3,68.0,0.3,Stanislas,59,MD,BOU,251,26,2.0,2,100,0,17,11,False,0,0,0,0
43,9.2,41.6,22.0,28.0,0.3,Gosling,49,MD,BOU,361,40,1.8,2,100,0,23,16,False,0,0,0,0
45,25.0,72.8,126.5,52.0,0.3,Ibe,49,MD,BOU,307,56,2.0,1,,0,7,5,False,0,0,0,0
46,10.2,32.6,42.8,27.0,0.4,Lewis Cook,44,MD,BOU,172,35,2.5,2,,0,23,18,False,0,0,1,1
47,14.3,18.6,55.6,69.0,0.1,Fraser,53,MD,BOU,270,32,1.6,0,75,0,0,0,False,0,0,0,0
49,10.1,13.8,20.6,67.0,0.1,Afobe,57,ST,BOU,177,20,1.2,0,100,0,0,0,False,0,0,0,0
51,45.0,101.0,109.8,239.0,0.5,King,71,ST,BOU,708,72,2.6,2,75,0,21,10,False,0,0,1,1
52,26.4,55.0,69.2,143.0,0.2,Defoe,77,ST,BOU,446,59,2.3,1,100,0,1,1,False,0,0,0,0
54,16.5,165.6,0.0,0.0,1.1,Ryan,45,GK,BHA,720,142,3.4,3,,0,29,17,True,0,0,0,0
55,37.0,194.4,29.0,146.0,0.6,Dunk,44,DF,BHA,720,125,2.1,1,,0,51,34,True,0,0,0,0
56,39.1,204.4,22.6,164.0,0.8,Duffy,45,DF,BHA,702,136,3.1,6,,0,26,22,True,1,0,0,0
58,14.5,88.0,51.6,4.0,0.7,Bruno,45,DF,BHA,556,96,2.6,1,100,0,41,30,True,0,0,0,1
59,2.0,15.8,2.2,2.0,0.1,Bong,44,DF,BHA,90,13,1.0,0,100,0,0,0,True,0,0,0,0
60,3.6,28.8,4.7,2.0,0.0,Rosenior,40,DF,BHA,163,22,1.0,0,,0,0,0,True,0,0,0,0
62,35.7,93.8,126.2,137.0,0.6,Knockaert,57,MD,BHA,471,85,2.5,8,100,0,31,29,True,0,0,2,4
63,27.4,143.8,51.6,78.0,0.7,Stephens,45,MD,BHA,720,123,2.6,2,,0,36,27,True,0,0,0,2
66,37.5,146.2,99.9,128.0,0.5,March,50,MD,BHA,669,100,3.3,3,,0,27,22,True,1,0,0,1
69,5.1,11.8,15.5,24.0,0.1,Murphy,48,MD,BHA,166,25,1.5,0,,0,0,0,True,0,0,0,0
70,56.2,195.8,295.4,71.0,0.6,Gro,57,MD,BHA,677,162,5.3,6,,1,35,29,True,0,1,1,1
72,23.7,110.4,24.3,104.0,0.6,Hemed,50,ST,BHA,435,81,4.3,0,0,0,0,0,True,0,0,0,0
74,5.3,53.4,0.0,0.0,0.0,Heaton,49,GK,BUR,305,48,2.0,0,0,0,0,0,True,0,0,0,0
76,23.2,158.8,51.0,20.0,1.0,Lowton,45,DF,BUR,720,136,3.8,2,,0,28,21,True,0,0,1,0
77,41.3,250.8,24.1,137.0,1.1,Mee,45,DF,BUR,720,137,3.4,2,100,0,46,38,True,0,0,0,0
78,34.3,202.4,108.7,32.0,1.6,Ward,46,DF,BUR,710,172,5.4,2,,0,45,37,True,0,0,1,0
79,31.2,263.0,15.5,31.0,1.0,Tarkowski,45,DF,BUR,720,142,3.3,2,100,0,45,35,True,0,0,0,0
82,14.1,56.0,24.8,60.0,0.3,Arfield,49,MD,BUR,406,48,2.8,1,,0,13,8,True,0,0,0,1
84,15.1,47.2,76.9,27.0,0.3,Gudmundsson,50,MD,BUR,415,50,2.0,4,,0,17,15,True,0,1,2,0
85,27.7,129.4,126.9,20.0,0.4,Defour,55,MD,BUR,681,116,2.5,1,,0,72,61,True,0,0,0,2
86,17.6,46.0,57.6,72.0,0.8,Hendrick,54,MD,BUR,385,51,3.4,1,100,0,26,20,True,0,0,0,1
87,50.6,133.4,274.6,97.0,0.5,Brady,55,MD,BUR,707,104,3.4,2,,0,43,33,True,0,0,1,2
90,31.4,188.2,61.3,64.0,0.5,Cork,45,MD,BUR,720,116,2.5,2,,0,70,59,True,0,0,0,2
91,22.6,75.2,32.7,119.0,0.1,Vokes,59,ST,BUR,347,64,3.3,1,100,0,11,3,True,0,0,0,0
92,20.1,42.8,45.2,118.0,0.6,Gray,63,ST,WAT,517,54,2.8,2,,0,15,13,True,0,0,0,1
94,14.6,144.6,0.0,0.0,0.7,Courtois,55,GK,CHE,720,149,4.0,2,,0,37,33,False,0,0,0,0
97,37.8,229.6,108.3,39.0,0.8,Azpilicueta,66,DF,CHE,720,206,5.0,-1,,0,76,64,False,0,0,0,0
98,7.7,73.4,4.1,0.0,0.2,Cahill,63,DF,CHE,314,60,1.6,1,100,0,60,54,False,0,0,0,0
99,21.4,181.0,8.2,25.0,0.1,Zouma,55,DF,STK,630,121,2.0,-1,100,0,16,13,False,0,0,0,2
100,51.7,219.2,128.8,169.0,0.1,Alonso,70,DF,CHE,688,151,4.1,1,,0,48,37,False,0,0,0,0
101,17.8,118.4,19.3,41.0,0.1,David Luiz,59,DF,CHE,536,118,3.7,1,100,0,45,39,False,0,0,0,0
