Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,big_chances_created,attempted_passes,completed_passes,was_home,clean_sheets,assists,open_play_crosses,dribbles
1,4.7,47.0,0.0,0.0,0.6,Cech,50,GK,ARS,90,24,3.0,3,,0,42,31,True,0,0,0,0
4,6.2,27.0,11.7,23.0,0.2,Bellern,55,DF,ARS,90,17,1.0,1,,0,29,22,True,0,0,0,1
7,4.7,29.4,0.2,17.0,0.2,Mustafi,55,DF,ARS,90,16,1.0,1,,0,40,36,True,0,0,0,0
9,3.1,30.4,0.6,0.0,0.2,Chambers,45,DF,FUL,90,22,1.0,1,,0,72,69,True,0,0,0,1
12,2.7,16.6,10.3,0.0,0.0,Sokratis,55,DF,ARS,90,13,0.0,0,,0,37,30,True,0,0,0,0
18,8.1,16.6,22.3,42.0,0.3,Mkhitaryan,70,MD,ARS,90,11,2.0,2,,0,31,24,True,0,0,0,0
20,2.1,10.8,10.3,0.0,0.2,Maitland-Niles,45,MD,ARS,34,7,1.0,1,,0,13,11,True,0,0,0,2
26,3.7,22.2,10.8,4.0,0.9,Francis,45,DF,BOU,23,15,4.0,4,,1,10,8,True,0,1,0,1
27,2.6,23.2,1.0,2.0,1.3,Steve Cook,45,DF,BOU,90,25,6.0,6,,0,66,50,True,1,0,0,0
28,3.2,13.4,17.0,2.0,1.1,Daniels,45,DF,BOU,90,22,5.0,5,,0,48,37,True,1,0,1,1
29,3.2,16.2,15.5,0.0,1.3,Adam Smith,45,DF,BOU,90,25,6.0,6,,0,42,37,True,1,0,0,0
31,3.6,35.0,1.1,0.0,1.6,Ak,50,DF,BOU,90,33,8.0,8,100,0,59,56,True,1,0,0,0
37,3.5,23.2,10.4,1.0,0.6,Gosling,50,MD,BOU,90,12,3.0,3,,0,73,56,True,1,0,1,2
40,11.1,42.8,43.3,25.0,2.0,Fraser,55,MD,BOU,90,38,11.0,11,,2,47,37,True,1,0,0,1
43,18.2,58.6,20.2,103.0,1.3,Wilson,60,ST,BOU,90,31,8.0,8,,1,25,18,True,1,1,1,4
47,2.3,22.8,0.0,0.0,0.4,Ryan,45,GK,BHA,90,15,2.0,2,,0,32,14,False,0,0,0,0
48,1.5,15.0,0.3,0.0,0.2,Dunk,45,DF,BHA,90,14,1.0,1,,0,45,35,False,0,0,0,0
49,2.7,27.0,0.0,0.0,0.2,Duffy,45,DF,BHA,90,16,1.0,1,100,0,39,30,False,0,0,0,0
56,3.8,21.8,11.8,4.0,0.2,Stephens,45,MD,BHA,90,14,1.0,1,,0,51,44,False,0,0,0,1
60,2.3,12.0,1.5,9.0,0.4,Prpper,50,MD,BHA,90,9,2.0,2,,0,38,32,False,0,0,0,1
69,1.9,11.0,6.8,1.0,1.2,Lowton,50,DF,BUR,90,26,6.0,6,,0,39,28,False,1,0,0,0
70,5.1,34.4,10.8,6.0,1.6,Mee,50,DF,BUR,90,31,8.0,8,,1,53,47,False,1,0,0,0
71,4.2,19.8,3.4,19.0,1.2,Ward,50,DF,BUR,90,24,6.0,6,100,0,46,32,False,1,0,0,1
72,6.7,50.8,10.5,6.0,1.4,Tarkowski,50,DF,BUR,90,30,7.0,7,,0,46,34,False,1,0,0,0
80,5.0,15.4,25.3,9.0,0.7,Westwood,45,MD,BUR,90,13,3.0,3,100,0,48,41,False,1,0,0,0
82,4.6,10.2,33.8,2.0,0.4,Cork,50,MD,BUR,90,10,2.0,2,,0,45,40,False,1,0,0,0
88,3.8,37.8,0.0,0.0,1.3,Etheridge,45,GK,CAR,90,26,6.0,6,,0,37,9,False,0,0,0,0
90,8.0,28.2,10.6,41.0,0.2,Morrison,50,DF,CAR,90,14,1.0,1,,0,26,17,False,0,0,0,0
92,1.6,15.4,0.2,0.0,0.2,Ecuele Manga,45,DF,CAR,90,8,1.0,1,,0,19,14,False,0,0,0,0
94,1.8,16.4,1.8,0.0,0.2,Bennett,45,DF,CAR,90,14,1.0,1,,0,26,24,False,0,0,0,0
95,1.2,10.8,1.0,0.0,0.0,Peltier,40,DF,CAR,90,6,0.0,0,100,0,23,12,False,0,0,0,0
98,4.0,16.4,15.9,8.0,0.4,Ralls,50,MD,CAR,90,12,2.0,2,,0,34,22,False,0,0,1,1
99,4.5,11.8,25.4,8.0,0.4,Hoilett,55,MD,CAR,90,6,2.0,2,,0,20,16,False,0,0,1,1
113,3.3,22.6,9.9,0.0,0.9,Azpilicueta,65,DF,CHE,90,29,6.0,6,,0,76,70,False,1,0,1,1
115,5.1,13.0,19.9,18.0,1.7,Alonso,65,DF,CHE,90,32,11.0,11,,0,73,67,False,1,1,1,1
116,2.2,20.2,2.0,0.0,0.9,David Luiz,55,DF,CHE,90,27,5.0,5,100,0,93,86,False,1,0,0,1
118,5.4,20.6,11.9,21.0,1.5,Rdiger,60,DF,CHE,90,35,9.0,9,,1,75,70,False,1,0,0,0
122,4.8,23.8,13.8,10.0,0.4,Hazard,105,MD,CHE,14,21,4.0,4,,1,23,20,False,0,1,0,6
124,9.7,26.4,48.3,22.0,0.8,Willian,75,MD,CHE,75,17,6.0,6,,0,27,25,False,1,1,1,3
125,8.3,42.6,19.4,21.0,1.4,Pedro,65,MD,CHE,80,31,9.0,9,,0,49,41,False,1,0,0,4
126,7.1,42.4,11.2,17.0,1.6,Kant,50,MD,CHE,90,30,8.0,8,,0,53,45,False,1,0,0,0
135,4.3,42.6,0.0,0.0,2.0,Hennessey,45,GK,CRY,90,33,9.0,9,,0,26,13,False,1,0,0,0
138,4.9,27.2,0.4,21.0,1.3,Tomkins,45,DF,CRY,90,29,6.0,6,,0,37,31,False,1,0,0,0
141,6.3,42.6,1.4,19.0,2.4,Schlupp,45,DF,CRY,90,30,11.0,11,,0,23,18,False,1,0,0,2
142,8.1,35.6,22.4,23.0,2.0,van Aanholt,55,DF,CRY,90,36,11.0,11,,0,38,30,False,1,1,0,3
143,1.9,18.6,0.1,0.0,1.4,Sakho,50,DF,CRY,90,33,7.0,7,,0,32,30,False,1,0,0,0
145,6.0,46.0,14.0,0.0,3.0,Wan-Bissaka,40,DF,CRY,90,38,12.0,12,,1,29,19,False,1,1,0,2
147,2.9,14.2,12.4,2.0,0.6,McArthur,50,MD,CRY,90,14,3.0,3,,0,36,27,False,1,0,0,0
149,6.3,27.6,17.5,18.0,0.5,Townsend,60,MD,CRY,87,9,3.0,3,,0,31,23,False,1,0,1,3
150,5.1,16.8,34.6,0.0,0.5,Milivojevic,65,MD,CRY,90,16,3.0,3,,0,38,28,False,1,0,1,0
151,9.8,37.4,8.3,52.0,0.7,Zaha,70,ST,CRY,90,17,5.0,5,,0,25,19,False,1,0,0,2
152,8.6,13.6,24.0,48.0,0.3,Benteke,65,ST,CRY,82,9,2.0,2,100,1,28,14,False,1,0,0,2
154,1.5,15.0,0.0,0.0,0.2,Pickford,50,GK,EVE,90,13,1.0,1,,0,35,10,False,0,0,0,0
156,5.6,23.4,32.4,0.0,0.2,Baines,55,DF,EVE,90,17,1.0,1,,0,52,44,False,0,0,0,1
157,4.9,26.4,1.8,21.0,0.2,Coleman,55,DF,EVE,90,8,1.0,1,,0,34,23,False,0,0,0,0
160,1.4,13.6,0.1,0.0,0.0,Holgate,45,DF,EVE,47,8,0.0,0,0,0,21,18,False,0,0,0,0
162,7.6,40.4,10.2,25.0,1.0,Keane,50,DF,EVE,90,27,5.0,5,,1,48,39,False,0,1,0,0
167,1.6,11.8,4.4,0.0,0.4,Schneiderlin,45,MD,EVE,90,14,2.0,2,,0,51,44,False,0,0,0,0
168,1.7,13.6,3.5,0.0,0.4,Gueye,50,MD,EVE,90,15,2.0,2,,0,54,45,False,0,0,0,0
177,5.3,25.0,17.2,11.0,0.7,Tosun,70,ST,EVE,80,18,5.0,5,,0,24,17,False,0,1,1,0
182,4.5,16.8,20.3,8.0,0.4,Cairney,50,MD,FUL,90,15,2.0,2,,0,93,90,True,0,0,0,1
183,3.2,17.8,6.3,8.0,0.2,McDonald,45,MD,FUL,90,16,1.0,1,,0,84,77,True,0,0,0,0
184,5.8,14.2,18.6,25.0,0.3,Sessegnon,65,MD,FUL,90,6,2.0,2,,0,40,31,True,0,0,0,0
190,1.3,13.2,0.0,0.0,0.3,Hamer,40,GK,HUD,90,11,1.0,1,,0,39,21,True,0,0,0,0
192,2.0,20.2,0.2,0.0,0.0,Schindler,45,DF,HUD,90,6,0.0,0,,0,29,26,True,0,0,0,0
195,3.5,21.0,11.8,2.0,0.2,Zanka,45,DF,HUD,90,23,1.0,1,,1,37,30,True,0,0,0,1
197,3.0,11.4,19.0,0.0,0.2,Hadergjonaj,45,DF,HUD,90,12,1.0,1,,0,38,27,True,0,0,1,0
198,2.0,15.2,4.3,0.0,0.0,Kongolo,45,DF,HUD,90,7,0.0,0,,0,24,17,True,0,0,1,1
199,3.8,20.2,18.2,0.0,0.4,Mooy,55,MD,HUD,90,24,2.0,2,,0,51,40,True,0,0,0,1
202,4.5,20.8,2.4,22.0,0.4,Billing,45,MD,HUD,90,16,2.0,2,,0,27,24,True,0,0,0,1
213,3.0,25.6,0.0,4.0,0.4,Schmeichel,50,GK,LEI,90,16,2.0,2,,0,18,14,False,0,0,0,0
215,2.0,18.6,1.0,0.0,0.2,Morgan,45,DF,LEI,90,16,1.0,1,,0,45,38,False,0,0,0,0
219,5.6,13.4,40.3,2.0,0.2,Chilwell,50,DF,LEI,90,12,1.0,1,100,0,50,41,False,0,0,0,1
220,1.4,10.6,1.6,2.0,0.2,Maguire,55,DF,LEI,90,14,1.0,1,75,0,59,54,False,0,0,0,0
221,5.8,17.6,24.3,16.0,0.8,Pereira,50,DF,LEI,90,23,4.0,4,,1,45,33,False,0,1,0,0
225,6.1,14.4,8.2,38.0,0.4,Gray,55,MD,LEI,90,15,2.0,2,,0,37,30,False,0,0,0,5
227,5.0,19.2,15.3,15.0,0.4,Ndidi,50,MD,LEI,90,13,2.0,2,,0,87,72,False,0,0,0,1
231,1.7,10.8,6.2,0.0,0.4,Silva,50,MD,LEI,79,13,2.0,2,,0,76,65,False,0,0,0,0
234,9.1,35.0,14.5,41.0,0.7,Vardy,90,ST,LEI,27,25,6.0,6,75,0,2,2,False,0,0,1,0
242,2.5,20.0,0.5,4.0,1.2,Gomez,50,DF,LIV,90,27,6.0,6,50,0,58,53,True,1,0,0,0
245,4.2,20.8,8.3,13.0,1.0,Alexander-Arnold,50,DF,LIV,90,22,5.0,5,,0,69,58,True,1,0,1,1
246,1.6,14.2,1.3,0.0,1.0,van Dijk,60,DF,LIV,90,29,6.0,6,,0,61,60,True,1,0,0,0
247,7.3,32.2,30.3,10.0,1.8,Robertson,60,DF,LIV,90,41,11.0,11,,1,79,70,True,1,1,1,0
251,18.5,77.0,29.3,79.0,1.7,Man,95,MD,LIV,81,52,16.0,16,,0,33,27,True,1,0,1,1
253,16.9,47.6,29.0,92.0,0.6,Salah,130,MD,LIV,86,20,8.0,8,,0,26,22,True,1,0,0,1
254,10.0,33.6,54.4,12.0,1.1,Milner,55,MD,LIV,90,26,6.0,6,75,1,102,95,True,1,1,3,0
257,6.7,22.6,29.5,15.0,0.5,Firmino,95,ST,LIV,68,23,5.0,5,,1,35,28,True,1,1,0,2
260,2.1,21.4,0.0,0.0,1.5,Ederson,55,GK,MCI,90,27,8.0,8,,0,37,24,False,1,0,0,0
262,1.4,13.6,0.3,0.0,1.5,Stones,55,DF,MCI,90,30,8.0,8,,0,72,67,False,1,0,0,0
265,1.6,11.8,1.9,2.0,1.1,Walker,65,DF,MCI,90,27,7.0,7,,0,65,59,False,1,0,0,3
267,11.4,56.8,28.0,29.0,2.5,Mendy,60,DF,MCI,90,46,15.0,15,,0,56,43,False,1,2,0,0
268,5.3,14.2,1.3,37.0,1.1,Laporte,55,DF,MCI,90,21,6.0,6,100,0,59,55,False,1,0,0,0
270,10.8,38.2,17.8,52.0,0.6,Sterling,110,MD,MCI,86,22,7.0,7,,0,30,24,False,1,0,0,3
