Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,big_chances_created,attempted_passes,completed_passes,was_home,clean_sheets,assists,open_play_crosses,dribbles
151,18.1,53.8,27.4,99.0,0.5,Zaha,70,ST,CRY,180,25,3.5,2,,0,27,14,True,0,0,2,5
152,10.4,14.2,36.1,53.0,0.3,Benteke,65,ST,CRY,151,9,2.0,2,100,0,21,12,True,0,0,0,0
154,3.4,33.6,0.0,0.0,0.4,Pickford,50,GK,EVE,180,28,2.0,3,,0,33,18,True,0,0,0,0
156,7.8,28.6,49.1,0.0,0.3,Baines,55,DF,EVE,180,26,1.5,2,,0,43,34,True,0,0,0,0
157,6.8,42.4,2.7,23.0,0.3,Coleman,55,DF,EVE,180,20,1.5,2,,0,30,23,True,0,0,0,0
160,3.2,31.0,0.5,0.0,0.2,Holgate,45,DF,EVE,137,21,1.0,2,100,0,62,37,True,0,0,0,0
162,14.0,67.6,10.6,61.0,0.7,Keane,50,DF,EVE,180,41,3.5,2,,0,57,48,True,0,0,0,0
164,12.1,58.4,29.8,32.0,1.2,Walcott,65,MD,EVE,180,39,7.5,13,100,1,28,20,True,0,1,1,2
167,6.3,33.2,28.2,2.0,0.7,Schneiderlin,45,MD,EVE,113,32,3.0,4,,1,13,13,True,0,1,0,0
168,7.3,41.8,6.4,25.0,0.4,Gueye,50,MD,EVE,180,33,2.0,2,,0,45,36,True,0,0,0,1
172,12.6,22.2,83.0,22.0,0.2,Sigurdsson,74,MD,EVE,133,20,1.5,2,,1,28,22,True,0,0,2,2
177,10.1,34.0,18.5,49.0,0.5,Tosun,70,ST,EVE,154,22,3.5,2,,0,18,10,True,0,0,0,0
182,10.1,28.4,56.5,16.0,0.4,Cairney,49,MD,FUL,162,31,2.0,2,,0,49,43,False,0,0,0,1
183,3.2,17.8,6.3,8.0,0.1,McDonald,45,MD,FUL,90,16,1.0,0,,0,0,0,False,0,0,0,0
184,15.3,35.6,35.3,82.0,0.5,Sessegnon,64,MD,FUL,180,19,3.5,5,,1,15,12,False,0,1,0,1
189,10.4,13.8,60.1,30.0,0.3,Kamara,45,ST,FUL,116,14,1.5,2,,1,35,23,False,0,0,0,0
190,7.1,71.0,0.0,0.0,0.4,Hamer,40,GK,HUD,180,34,1.5,2,,0,35,14,False,0,0,0,0
192,6.4,49.2,10.9,4.0,-0.2,Schindler,45,DF,HUD,180,13,-1.0,-2,,0,24,21,False,0,0,0,0
193,3.5,18.2,16.8,0.0,0.0,Lwe,45,DF,HUD,160,19,0.0,-1,,0,22,12,False,0,0,0,0
194,2.4,17.4,4.3,2.0,-0.1,Smith,45,DF,HUD,90,13,-1.0,-1,,0,19,12,False,0,0,1,1
195,3.5,21.0,11.8,2.0,0.1,Zanka,45,DF,HUD,90,23,1.0,0,0,0,0,0,False,0,0,0,0
197,4.2,14.6,20.0,8.0,0.0,Hadergjonaj,45,DF,HUD,180,21,0.0,-1,,0,14,11,False,0,0,0,0
198,2.9,21.8,4.3,2.0,-0.3,Kongolo,45,DF,HUD,180,9,-1.5,-3,,0,17,14,False,0,0,0,1
199,3.8,20.2,18.2,0.0,0.2,Mooy,54,MD,HUD,90,24,2.0,0,,0,0,0,False,0,0,0,0
202,8.5,40.4,4.5,40.0,0.3,Billing,45,MD,HUD,180,21,1.5,1,,0,20,13,False,0,0,0,1
211,6.5,20.6,25.3,19.0,0.6,Mounie,60,ST,HUD,173,20,3.5,5,,1,19,10,False,0,1,0,0
213,4.5,40.8,0.0,4.0,0.8,Schmeichel,50,GK,LEI,180,41,4.0,6,,0,30,16,True,1,0,0,0
215,2.0,18.6,1.0,0.0,0.1,Morgan,45,DF,LEI,90,16,1.0,0,,0,0,0,True,0,0,0,0
219,13.2,56.8,53.6,21.0,0.9,Chilwell,50,DF,LEI,180,48,4.5,8,100,0,43,38,True,1,0,0,4
220,3.2,27.6,2.3,2.0,0.5,Maguire,55,DF,LEI,180,39,3.0,5,100,0,41,36,True,1,0,0,1
221,12.7,59.8,37.1,30.0,1.6,Pereira,50,DF,LEI,180,60,8.0,12,,0,36,28,True,1,1,0,2
222,1.4,13.6,0.4,0.0,0.5,Evans,50,DF,LEI,90,23,5.0,5,100,0,36,30,True,1,0,0,0
225,7.8,21.4,13.2,43.0,0.5,Gray,55,MD,LEI,171,23,2.5,3,,0,37,32,True,1,0,0,6
227,9.4,41.4,27.9,24.0,0.5,Ndidi,50,MD,LEI,180,33,2.5,3,,0,48,40,True,1,0,0,2
231,2.1,14.2,6.3,0.0,0.3,Silva,50,MD,LEI,87,16,1.5,1,,0,3,3,True,0,0,0,1
233,10.6,49.6,18.6,38.0,0.8,Maddison,65,MD,LEI,143,42,5.5,9,100,0,27,23,True,1,0,0,3
234,9.5,35.0,16.8,45.0,0.3,Vardy,90,ST,LEI,92,19,2.5,-1,100,0,11,8,True,1,0,0,0
242,5.9,38.4,11.7,8.0,1.2,Gomez,50,DF,LIV,180,56,6.0,6,100,0,70,63,False,1,0,0,0
245,7.9,33.0,23.0,23.0,1.0,Alexander-Arnold,50,DF,LIV,180,47,5.0,5,,0,71,65,False,1,0,1,0
246,4.8,40.6,3.0,4.0,1.0,van Dijk,60,DF,LIV,180,60,6.0,6,,0,79,73,False,1,0,0,0
247,12.8,49.8,57.7,20.0,1.5,Robertson,60,DF,LIV,180,76,9.0,7,,1,81,75,False,1,0,0,1
251,32.0,127.2,66.2,127.0,1.3,Man,98,MD,LIV,171,89,13.0,10,,1,35,29,False,1,0,0,5
252,5.5,19.8,20.2,15.0,0.5,Wijnaldum,55,MD,LIV,180,23,3.0,3,100,0,57,52,False,1,0,0,2
253,32.2,78.2,70.5,173.0,0.7,Salah,130,MD,LIV,176,42,8.5,9,,1,19,13,False,1,2,0,3
254,17.9,77.4,62.6,39.0,1.5,Milner,55,MD,LIV,156,67,8.5,11,100,0,49,45,False,1,0,1,0
256,11.0,28.0,37.8,44.0,0.4,Keita,75,MD,LIV,176,23,3.0,3,,1,64,55,False,1,0,0,1
257,10.0,30.6,47.4,22.0,0.4,Firmino,95,ST,LIV,158,34,3.5,2,,0,43,37,False,1,0,0,4
258,22.2,40.6,53.5,128.0,0.7,Ings,55,ST,SOU,124,28,4.0,7,,0,15,12,False,0,0,0,0
260,5.1,41.2,10.0,0.0,1.2,Ederson,56,GK,MCI,180,45,6.5,5,,0,20,16,True,0,1,0,0
262,6.3,31.2,25.5,6.0,0.9,Stones,55,DF,MCI,180,47,5.0,2,,0,105,101,True,0,0,1,1
263,4.6,34.0,9.5,2.0,0.2,Kompany,55,DF,MCI,90,18,2.0,2,,0,114,109,True,0,0,0,1
265,1.6,11.8,1.9,2.0,0.5,Walker,65,DF,MCI,90,27,7.0,0,,0,0,0,True,0,0,0,0
267,21.3,91.4,72.6,49.0,1.9,Mendy,62,DF,MCI,180,83,11.5,8,,1,74,67,True,0,2,1,3
268,10.2,31.8,19.7,50.0,0.7,Laporte,55,DF,MCI,180,35,4.0,2,100,0,91,88,True,0,0,0,0
270,10.8,38.2,17.8,52.0,0.3,Sterling,110,MD,MCI,86,22,7.0,0,,0,0,0,True,0,0,0,0
271,16.9,51.8,78.1,39.0,0.5,David Silva,84,MD,MCI,63,42,9.0,9,,1,51,48,True,0,0,1,4
272,5.0,24.0,16.6,10.0,0.5,Fernandinho,55,MD,MCI,180,26,2.5,2,,0,63,60,True,0,0,0,0
472,8.8,35.0,2.5,50.0,0.5,Sturridge,60,ST,LIV,4,29,3.0,1,,0,0,0,False,0,0,0,0
274,8.4,14.4,37.0,33.0,0.5,Gndogan,55,MD,MCI,171,26,2.5,2,,1,78,73,True,0,0,0,0
276,15.2,51.8,42.7,57.0,0.7,Bernardo Silva,76,MD,MCI,180,37,5.0,2,,0,61,55,True,0,0,0,1
280,31.1,109.0,43.7,158.0,1.0,Agero,112,ST,MCI,153,86,11.0,20,,0,22,18,True,0,1,0,2
281,23.8,59.2,61.2,117.0,0.4,Jesus,105,ST,MCI,101,41,4.0,7,,1,35,31,True,0,0,0,3
282,2.5,25.2,0.0,0.0,0.3,De Gea,60,GK,MUN,180,23,2.0,1,,0,30,20,False,0,0,0,0
286,14.6,74.4,16.5,55.0,1.5,Shaw,51,DF,MUN,180,50,7.5,4,100,0,49,41,False,0,1,0,2
289,3.0,20.6,2.3,7.0,0.2,Darmian,49,DF,MUN,90,16,2.0,0,,0,0,0,False,0,0,0,0
291,3.4,31.2,0.6,2.0,0.3,Bailly,55,DF,MUN,180,23,1.5,1,100,0,67,60,False,0,0,0,0
292,4.4,40.4,1.1,2.0,0.3,Lindelf,50,DF,MUN,180,31,1.5,1,,0,69,64,False,0,0,0,1
293,3.7,17.2,19.8,0.0,0.1,Young,59,DF,MUN,90,13,1.0,1,100,0,59,46,False,0,0,0,1
295,8.2,13.8,45.9,22.0,0.2,Snchez,104,MD,MUN,90,22,5.0,0,,0,0,0,False,0,0,0,0
297,6.2,27.0,31.5,3.0,0.5,Mata,65,MD,MUN,135,25,3.0,1,,0,17,15,False,0,0,0,0
302,19.6,104.8,35.7,55.0,1.1,Pogba,81,MD,MUN,173,52,9.0,8,100,0,77,63,False,0,0,0,2
304,2.2,11.4,9.0,1.0,0.3,Fred,59,MD,MUN,165,16,2.0,2,,0,79,73,False,0,0,0,1
305,2.5,13.6,7.5,4.0,0.2,Rashford,69,ST,MUN,111,13,1.5,1,,0,14,11,False,0,0,0,1
306,9.9,39.0,3.0,56.0,0.4,Lukaku,110,ST,MUN,113,25,4.5,8,100,0,18,10,False,0,0,0,0
309,3.3,33.0,0.0,0.0,0.8,Dubravka,50,GK,NEW,180,35,4.0,6,100,0,25,10,False,1,0,0,0
311,6.2,34.8,0.8,26.0,0.8,Clark,45,DF,NEW,180,34,3.5,6,100,0,40,26,False,1,0,0,0
312,6.5,38.2,0.6,26.0,0.9,Lascelles,50,DF,NEW,180,45,4.5,8,,0,40,32,False,1,0,0,0
313,2.4,21.2,1.7,1.0,0.8,Dummett,45,DF,NEW,180,31,3.5,6,,0,20,7,False,1,0,0,0
317,7.2,25.8,37.2,9.0,0.6,Ritchie,60,MD,NEW,137,22,3.5,2,,0,17,8,False,1,0,0,1
318,15.0,33.8,91.8,25.0,0.5,Shelvey,55,MD,NEW,180,31,2.5,3,100,1,56,36,False,1,0,1,0
319,7.2,33.2,13.6,25.0,0.4,Diam,50,MD,NEW,180,9,2.0,3,,0,35,22,False,1,0,0,0
326,9.8,27.8,14.9,55.0,0.3,Prez,65,ST,NEW,144,11,2.0,2,,0,10,8,False,1,0,0,0
327,17.5,46.0,19.5,110.0,0.7,Joselu,50,ST,NEW,148,34,3.5,2,,0,22,13,False,1,0,0,1
328,8.0,79.8,0.0,0.0,1.4,McCarthy,45,GK,SOU,180,54,6.5,2,,0,20,9,False,0,0,0,0
330,8.7,28.0,46.6,12.0,0.7,Bertrand,50,DF,SOU,180,35,3.5,1,,0,19,13,False,0,0,1,1
332,2.8,16.4,2.1,9.0,0.1,Cdric,45,DF,SOU,145,13,0.5,0,100,0,27,14,False,0,0,0,0
333,10.0,44.6,22.2,33.0,0.7,Stephens,45,DF,SOU,180,38,3.0,0,,0,39,17,False,0,0,0,0
336,2.8,25.2,1.4,1.0,0.7,Hoedt,45,DF,SOU,180,29,3.0,0,,0,44,25,False,0,0,0,2
338,9.7,26.0,61.8,9.0,0.2,Ward-Prowse,54,MD,SOU,83,19,2.0,2,,0,33,24,False,0,0,0,1
339,4.4,21.0,4.6,18.0,0.4,Oriol Romeu,45,MD,SOU,161,15,2.0,1,,0,27,17,False,0,0,0,0
344,10.9,29.2,19.7,60.0,0.7,Lemina,50,MD,SOU,180,20,3.5,4,,1,20,15,False,0,1,0,0
346,9.6,12.0,58.3,26.0,0.1,Elyounoussi,64,MD,SOU,34,6,1.0,0,50,0,0,0,False,0,0,0,0
348,7.6,11.6,22.4,42.0,0.3,Austin,59,ST,SOU,128,5,1.5,1,,0,13,7,False,0,0,0,0
351,3.4,34.2,0.0,0.0,0.4,Lloris,55,GK,TOT,180,28,2.0,2,,0,33,27,True,0,0,0,0
353,1.8,10.6,2.3,5.0,0.2,Alderweireld,59,DF,TOT,90,16,2.0,2,,0,80,72,True,0,0,0,0
355,14.5,89.0,5.1,51.0,1.1,Vertonghen,60,DF,TOT,180,51,6.5,2,,0,92,86,True,0,0,0,0
356,17.1,34.2,71.6,65.0,0.3,Davies,59,DF,TOT,180,35,2.0,2,,2,45,39,True,0,0,2,0
357,12.0,47.2,41.8,31.0,0.9,Trippier,60,DF,TOT,90,32,11.0,11,,0,62,52,True,0,0,2,0
359,8.2,55.6,11.7,15.0,0.6,Snchez,60,DF,TOT,152,41,3.5,2,,0,35,32,True,0,0,0,0
360,5.8,32.8,20.7,4.0,0.4,Aurier,60,DF,TOT,90,22,5.0,0,,0,0,0,True,0,0,0,0
361,7.1,36.4,33.7,0.0,0.3,Dier,49,MD,TOT,159,35,1.5,2,100,1,53,50,True,0,0,1,0
363,9.3,22.6,14.8,56.0,0.3,Lamela,65,MD,TOT,17,12,4.0,4,75,0,10,9,True,0,1,0,0
364,17.3,25.6,94.5,52.0,0.2,Eriksen,94,MD,TOT,180,20,2.0,2,,0,68,60,True,0,0,0,1
365,22.4,77.4,23.2,123.0,0.8,Alli,91,MD,TOT,169,52,7.0,5,,0,65,55,True,0,1,0,0
369,3.5,10.6,7.1,17.0,0.2,Sissoko,50,MD,TOT,90,11,2.0,0,100,0,0,0,True,0,0,0,0
370,11.4,47.6,14.3,52.0,0.6,Lucas Moura,70,MD,TOT,157,25,4.5,7,,0,37,29,True,0,0,0,2
372,18.4,46.6,55.3,82.0,0.3,Kane,125,ST,TOT,178,29,4.0,7,,0,22,18,True,0,0,1,3
376,4.0,33.2,1.0,6.0,0.9,Cathcart,45,DF,WAT,180,36,4.0,2,,0,25,16,False,0,0,0,0
378,16.2,64.2,88.2,10.0,1.6,Holebas,46,DF,WAT,180,54,7.5,2,100,0,28,20,False,0,0,0,0
380,4.1,18.2,0.5,22.0,0.9,Kabasele,45,DF,WAT,180,23,4.0,2,,0,21,14,False,0,0,0,0
381,6.9,32.0,13.0,23.0,0.8,Janmaat,50,DF,WAT,180,35,4.0,1,,0,30,20,False,0,0,1,0
389,3.3,19.2,4.2,9.0,0.4,Capoue,50,MD,WAT,180,18,2.0,2,,0,38,29,False,0,0,0,0
390,9.1,43.6,43.9,4.0,0.8,Doucour,60,MD,WAT,180,42,4.5,6,100,1,46,38,False,0,1,0,1
391,18.3,82.4,32.7,68.0,1.5,Pereyra,61,MD,WAT,176,70,9.0,2,,1,37,28,False,0,0,1,1
392,12.5,60.0,28.0,37.0,1.1,Hughes,50,MD,WAT,162,31,5.5,8,,0,35,27,False,0,0,0,0
393,25.0,129.2,29.7,91.0,1.7,Richarlison,68,MD,EVE,170,75,11.5,9,100,0,23,16,True,0,0,0,2
395,13.4,39.6,28.2,66.0,0.7,Gray,60,ST,WAT,140,26,4.0,6,,0,7,6,False,0,0,0,0
396,19.2,64.0,33.7,95.0,1.2,Deeney,60,ST,WAT,178,41,7.0,12,,1,34,21,False,0,1,1,2
400,5.5,55.8,0.0,0.0,0.3,Fabianski,45,GK,WHU,180,34,1.5,2,,0,19,7,True,0,0,0,0
403,6.2,45.8,14.0,2.0,0.0,Ogbonna,45,DF,WHU,180,26,0.0,0,,0,47,39,True,0,0,0,0
405,4.6,21.8,18.2,6.0,0.0,Zabaleta,44,DF,WHU,90,11,0.0,0,,0,47,38,True,0,0,1,1
410,5.1,45.4,3.7,2.0,0.4,Masuaku,45,MD,WHU,180,26,2.0,2,,0,51,46,True,0,0,0,2
411,4.3,19.2,23.3,0.0,0.3,Noble,50,MD,WHU,166,22,1.5,1,,0,61,52,True,0,0,0,0
415,5.7,18.6,14.0,24.0,0.1,Antonio,70,MD,WHU,90,5,1.0,0,,0,0,0,True,0,0,0,0
417,15.8,45.0,41.1,76.0,0.7,Arnautovic,70,ST,WHU,156,34,5.0,8,,0,27,19,True,0,0,1,0
423,5.5,47.4,7.0,0.0,0.2,Boly,45,DF,WOL,180,35,1.0,1,,0,59,52,False,0,0,0,0
425,7.6,19.8,32.9,26.0,0.0,Doherty,45,DF,WOL,158,8,0.0,-1,,0,27,17,False,0,0,1,0
427,6.9,42.8,27.0,0.0,0.3,Bennett,40,DF,WOL,180,27,1.0,1,,0,46,35,False,0,0,0,0
430,3.4,33.0,0.9,0.0,0.2,Coady,45,DF,WOL,180,30,1.0,1,,0,65,60,False,0,0,0,0
433,12.8,72.8,32.0,24.0,1.4,Neves,51,MD,WOL,180,55,7.0,2,,0,76,70,False,0,0,0,0
