Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,position,team,minutes,bps,points-per-game,points-last-game,playing-chance,was_home,clean_sheets,assists
321,4.3,10.8,15.1,17.0,0.3,Ward-Prowse,60,MID,SOU,90,10,2.0,2,,False,0,0
136,6.9,12.8,1.0,55.0,0.4,Meyer,55,MID,CRY,90,5,2.0,2,,True,1,0
138,3.3,21.2,11.6,0.0,0.5,McArthur,55,MID,CRY,90,15,3.0,3,,True,1,0
395,1.8,16.0,1.8,0.0,0.4,Rice,50,MID,WHU,90,15,2.0,2,,True,0,0
142,2.0,19.4,0.8,0.0,1.6,Mina,55,DEF,EVE,90,32,9.0,9,,False,1,0
143,2.5,24.4,0.5,0.0,1.5,Keane,55,DEF,EVE,90,26,8.0,8,,False,1,0
144,4.3,20.6,3.3,19.0,1.1,Coleman,55,DEF,EVE,90,20,6.0,6,,False,1,0
280,3.0,30.4,0.0,0.0,0.2,Krul,45,GKP,NOR,90,19,1.0,1,,False,0,0
402,2.8,16.0,12.3,0.0,0.9,Jonny,55,DEF,WOL,90,18,5.0,5,,False,1,0
148,2.1,20.8,0.0,0.0,1.3,Pickford,55,GKP,EVE,90,25,7.0,7,,False,1,0
405,3.0,27.2,0.3,2.0,1.8,Boly,50,DEF,WOL,90,32,9.0,9,,False,1,0
150,6.4,12.2,19.3,32.0,0.4,Richarlison,80,MID,EVE,90,7,3.0,3,,False,1,0
409,6.2,19.8,12.2,30.0,0.3,Jimnez,75,FWD,WOL,90,10,2.0,2,100,False,1,0
439,5.9,21.2,0.4,37.0,0.2,Dawson,50,DEF,WAT,90,13,1.0,1,,True,0,0
346,8.9,11.6,38.3,39.0,0.2,Lamela,60,MID,TOT,87,15,1.0,1,,True,0,0
414,2.5,13.8,10.7,0.0,0.4,Neves,55,MID,WOL,80,10,2.0,2,,False,1,0
159,4.6,21.4,16.0,9.0,1.5,Pereira,60,DEF,LEI,90,32,9.0,9,,True,1,0
160,5.4,34.8,10.8,8.0,1.1,Maguire,55,DEF,MUN,90,29,6.0,6,,True,1,0
162,3.7,27.4,0.3,9.0,1.4,Evans,50,DEF,LEI,90,30,7.0,7,,True,1,0
164,2.3,20.4,0.5,2.0,1.3,Sync,45,DEF,LEI,90,29,6.0,6,,True,1,0
168,1.6,15.8,0.0,0.0,1.2,Schmeichel,50,GKP,LEI,90,23,6.0,6,,True,1,0
255,2.8,26.6,0.9,0.0,0.4,Dummett,45,DEF,NEW,90,24,2.0,2,,True,0,0
176,3.8,21.4,13.7,3.0,0.6,Ndidi,50,MID,LEI,90,15,3.0,3,,True,1,0
243,5.1,33.0,0.5,17.0,1.0,James,60,MID,MUN,16,21,6.0,6,,True,0,0
180,3.1,10.6,12.4,8.0,0.7,Choudhury,45,MID,LEI,60,15,3.0,3,,True,1,0
181,4.4,12.4,24.7,7.0,0.3,Robertson,70,DEF,LIV,90,15,2.0,2,,True,0,0
182,8.4,35.6,36.3,12.0,0.7,Alexander-Arnold,70,DEF,LIV,90,24,5.0,5,,True,0,1
183,7.4,52.4,0.8,21.0,1.2,van Dijk,65,DEF,LIV,90,27,8.0,8,,True,0,0
184,2.6,14.0,11.8,0.0,0.4,Gomez,55,DEF,LIV,90,10,2.0,2,,True,0,0
442,7.6,41.2,20.3,14.0,1.3,Ndombele,60,MID,TOT,90,26,8.0,8,,True,0,0
187,10.5,24.6,14.8,66.0,0.5,Firmino,95,FWD,LIV,85,26,5.0,5,,True,0,1
188,9.3,45.4,26.4,21.0,2.2,Origi,55,FWD,LIV,73,46,12.0,12,,True,0,1
445,8.3,72.6,10.0,0.0,1.3,Mings,45,DEF,AVL,90,31,6.0,6,,False,0,1
447,8.3,56.8,25.1,1.0,3.1,Pieters,45,DEF,BUR,90,43,14.0,14,,True,1,2
448,8.4,14.2,33.7,36.0,0.5,Tielemans,65,MID,LEI,90,21,3.0,3,,True,1,0
262,1.1,11.0,0.0,0.0,0.4,Dubravka,50,GKP,NEW,90,9,2.0,2,,True,0,0
197,4.4,25.6,11.8,7.0,0.4,Fabinho,55,MID,LIV,90,18,2.0,2,,True,0,0
198,5.9,12.2,6.2,41.0,0.4,Henderson,55,MID,LIV,90,12,2.0,2,,True,0,0
455,2.8,27.8,0.0,0.0,0.2,Engels,45,DEF,AVL,90,12,1.0,1,,False,0,0
202,2.0,19.2,0.9,0.0,0.9,Laporte,65,DEF,MCI,90,26,6.0,6,100,False,1,0
203,7.1,27.4,23.3,20.0,1.3,Walker,60,DEF,MCI,90,33,8.0,8,,False,1,1
206,4.4,17.8,25.0,1.0,1.1,Zinchenko,55,DEF,MCI,90,26,6.0,6,,False,1,0
207,2.0,18.8,0.8,0.0,1.1,Stones,55,DEF,MCI,90,33,6.0,6,,False,1,0
465,6.6,16.4,14.4,35.0,0.2,Trzguet,55,MID,AVL,58,4,1.0,1,,False,0,0
210,5.1,33.4,0.3,17.0,0.4,Agero,120,FWD,MCI,21,27,5.0,5,,False,0,0
467,1.3,13.0,0.2,0.0,1.3,Chambers,45,DEF,ARS,90,26,6.0,6,,False,1,0
212,2.9,28.8,0.0,0.0,1.2,Ederson,60,GKP,MCI,90,26,7.0,7,,False,1,0
214,19.0,103.6,12.7,74.0,1.7,Sterling,120,MID,MCI,90,55,20.0,20,,False,1,0
215,10.2,37.8,37.4,27.0,0.7,De Bruyne,95,MID,MCI,78,37,7.0,7,,False,1,1
217,14.3,52.6,51.2,39.0,1.6,Mahrez,85,MID,MCI,90,45,14.0,14,,False,1,3
463,9.7,25.0,51.8,20.0,0.3,Mount,60,MID,CHE,90,15,2.0,2,,False,0,0
476,5.8,23.4,24.3,10.0,0.4,Billing,50,MID,BOU,90,15,2.0,2,,True,0,0
293,2.0,15.6,4.6,0.0,0.4,O'Connell,45,DEF,SHU,90,12,2.0,2,,False,0,0
225,2.0,19.4,0.1,0.0,0.9,Lindelf,55,DEF,MUN,90,24,5.0,5,,True,1,0
226,2.0,14.6,3.0,2.0,1.1,Shaw,55,DEF,MUN,90,27,6.0,6,,True,1,0
123,1.8,15.4,0.5,2.0,1.1,van Aanholt,55,DEF,CRY,90,20,6.0,6,,True,1,0
489,4.4,11.2,28.8,4.0,0.4,Nelson,55,MID,ARS,70,10,2.0,2,,False,1,0
235,4.3,43.2,0.0,0.0,1.8,de Gea,55,GKP,MUN,90,34,10.0,10,,True,1,0
