Id,ict-index,influence,creativity,threat,value_form,web_name,now_cost,minutes,bps,points-per-game,playing-chance
230,38.5,125.4,70.4,191.0,-0.1,Man,94,289,78,5.0,0
232,16.3,36.8,45.5,81.0,0.1,Wijnaldum,68,397,48,2.2,
234,68.3,199.8,105.9,377.0,0.7,Salah,92,429,116,6.8,100
235,50.3,148.2,156.3,200.0,0.2,Firmino,86,455,116,5.3,
236,32.8,84.6,84.4,159.0,0.3,Sturridge,80,192,71,3.3,100
239,6.0,10.4,16.7,34.0,0.1,Solanke,48,54,5,1.0,
240,7.3,73.4,0.0,0.0,0.9,Ederson,55,495,99,4.0,100
242,13.3,81.6,9.6,41.0,1.1,Stones,55,404,115,4.5,
244,10.8,60.8,8.8,38.0,0.0,Kompany,59,270,45,2.7,75
245,24.9,161.6,16.0,71.0,1.4,Otamendi,57,520,155,5.7,
246,4.7,37.4,2.4,7.0,0.4,Delph,45,20,23,6.0,100
247,49.6,181.4,85.0,230.0,0.9,Sterling,79,297,104,6.4,100
248,68.2,200.6,348.0,133.0,1.0,David Silva,84,527,159,6.8,100
250,30.2,129.6,82.5,90.0,0.5,Fernandinho,50,540,97,3.0,
252,59.0,159.8,321.0,108.0,0.6,De Bruyne,100,515,137,4.3,
255,44.9,157.6,109.8,182.0,1.2,San,83,233,113,5.7,
256,12.8,31.8,56.0,41.0,0.1,Bernardo Silva,76,147,30,1.2,
257,80.0,289.4,187.1,323.0,1.1,Agero,117,466,219,8.7,
259,43.8,145.0,47.1,246.0,0.6,Jesus,104,323,104,5.8,
260,10.3,101.8,0.0,0.0,1.0,de Gea,56,540,139,6.0,
520,6.0,57.0,1.5,2.0,0.7,Snchez,60,271,69,3.5,100
264,14.7,134.2,4.2,9.0,1.0,Jones,52,540,169,5.8,
267,26.1,117.2,82.4,60.0,1.1,Valencia,66,540,153,6.8,
269,14.4,123.8,16.2,3.0,0.3,Fosu-Mensah,45,527,91,1.3,
270,14.8,52.6,80.5,15.0,0.1,Blind,55,271,84,4.8,
271,23.2,138.2,16.6,77.0,0.6,Bailly,62,540,157,6.3,
274,26.2,39.8,152.0,69.0,0.3,Mata,70,370,73,2.7,100
275,17.4,81.4,24.8,68.0,0.4,Fellaini,49,225,56,2.8,100
277,7.5,33.2,36.0,6.0,0.3,Young,49,180,18,2.5,100
278,5.5,24.4,22.3,8.0,0.2,Herrera,52,117,21,1.0,100
279,12.6,37.0,26.1,63.0,0.3,Lingard,59,51,31,2.5,100
280,35.4,142.0,93.6,118.0,0.3,Martial,80,120,96,5.2,
281,56.3,182.8,279.7,99.0,0.6,Mkhitaryan,85,488,161,6.7,
282,48.1,149.4,144.8,186.0,0.2,Pogba,81,360,100,7.8,0
284,44.2,117.4,86.6,237.0,0.5,Rashford,76,397,88,4.0,
285,81.4,260.8,140.7,412.0,0.7,Lukaku,117,540,161,7.3,
286,11.9,119.4,0.0,0.0,1.0,Elliot,41,540,110,4.0,
288,3.1,22.4,5.5,3.0,0.3,Yedlin,44,180,13,2.0,100
289,21.9,131.8,22.7,64.0,0.7,Clark,45,540,113,4.5,
290,25.9,175.8,13.8,68.0,1.7,Lascelles,46,533,117,5.3,100
293,8.4,32.2,47.6,4.0,0.8,Gmez,40,97,38,4.5,
295,44.7,144.2,190.5,113.0,1.0,Ritchie,60,537,118,4.3,100
298,2.9,16.0,12.0,0.0,0.1,Diam,48,47,19,1.0,
300,32.3,94.0,80.4,149.0,0.8,Atsu,51,481,58,3.7,
302,33.1,72.2,130.8,127.0,0.4,Prez,55,524,33,2.5,
303,10.6,39.0,21.8,45.0,0.0,Mitrovic,48,18,25,5.0,0
306,13.7,136.2,0.0,0.0,0.7,Forster,50,540,116,5.2,
307,24.1,62.2,106.4,72.0,0.5,Bertrand,55,535,109,4.0,
308,15.7,98.0,2.9,56.0,0.7,Yoshida,50,450,114,5.4,
310,20.3,87.6,41.5,73.0,0.6,Cdric,50,532,94,3.7,
313,15.1,95.6,13.5,42.0,0.1,Stephens,48,360,85,3.8,
316,35.2,131.6,159.9,60.0,1.0,Davis,51,511,133,4.3,
317,15.6,23.2,81.8,53.0,0.2,Ward-Prowse,53,171,26,1.3,
318,42.3,102.0,191.2,129.0,0.3,Tadic,65,474,73,3.0,
320,29.4,100.6,107.4,86.0,0.5,Oriol Romeu,45,540,85,2.2,
322,4.0,14.4,12.5,13.0,0.1,Boufal,57,89,14,1.5,
324,46.0,76.8,203.4,179.0,0.4,Redmond,64,534,55,2.8,
325,12.2,12.8,73.1,38.0,0.2,Long,58,229,9,1.0,100
326,6.5,35.6,3.6,27.0,0.1,Austin,62,57,35,2.5,100
327,11.3,38.8,32.6,55.0,0.2,Gabbiadini,67,303,46,2.5,
328,15.4,143.6,10.0,0.0,0.3,Butland,50,540,106,3.3,
330,10.4,79.8,10.6,14.0,0.0,Shawcross,49,270,45,3.3,0
331,7.7,53.4,14.2,10.0,0.1,Cameron,45,293,51,2.8,0
332,15.6,85.4,68.5,2.0,0.1,Pieters,50,538,85,1.8,100
335,1.3,11.8,1.2,0.0,0.0,Johnson,43,90,17,0.0,
337,22.5,90.0,88.8,46.0,0.6,Allen,54,533,77,2.5,
342,44.4,133.2,219.9,90.0,0.8,Shaqiri,59,474,89,3.3,100
345,6.4,24.0,29.9,10.0,0.2,Sobhi,48,158,30,2.0,
346,17.1,70.8,78.2,22.0,0.4,Fletcher,50,540,68,2.2,100
347,12.6,41.0,33.3,51.0,0.1,Crouch,49,81,33,2.3,
348,19.3,55.6,58.0,80.0,0.6,Diouf,54,450,50,2.6,100
349,8.2,27.6,27.1,27.0,0.1,Berahino,58,151,22,2.7,
350,16.8,168.4,0.0,0.0,1.2,Fabianski,45,540,140,5.0,
352,19.9,128.0,58.8,10.0,0.6,Naughton,46,537,123,4.5,
354,18.2,170.0,2.1,10.0,0.8,Fernndez,45,540,132,4.3,
356,6.6,42.8,1.0,21.0,0.4,van der Hoorn,45,198,57,4.3,
357,13.3,97.4,1.6,34.0,0.6,Mawson,50,540,113,3.5,
358,11.2,65.2,41.1,6.0,0.6,Olsson,50,540,101,3.5,
359,25.9,42.8,121.2,95.0,0.2,Sigurdsson,83,389,46,1.8,
360,3.4,13.4,17.4,4.0,0.0,Routledge,54,133,8,1.3,
365,20.0,84.6,70.7,44.0,0.2,Fer,55,482,65,2.2,
367,27.7,81.2,153.7,42.0,0.4,Carroll,45,535,79,2.3,
370,3.9,13.6,18.4,7.0,0.1,Mesa,44,111,21,1.5,
373,19.7,76.2,51.8,68.0,0.4,Ayew,50,540,63,2.7,100
374,26.5,93.4,34.9,138.0,0.7,Abraham,56,445,72,4.0,100
375,7.6,76.0,0.0,0.0,0.8,Lloris,55,540,108,3.8,
377,19.9,123.4,49.0,26.0,0.7,Alderweireld,60,540,124,3.5,
379,16.5,80.0,66.4,20.0,1.3,Walker,65,403,119,5.8,100
380,24.3,142.4,63.9,36.0,0.8,Vertonghen,60,540,131,3.7,
381,44.1,147.2,208.1,85.0,0.9,Davies,57,439,132,6.6,
382,15.8,67.4,82.5,8.0,1.1,Trippier,54,372,101,4.0,100
383,3.9,37.2,1.4,0.0,0.1,Wimmer,44,180,20,0.5,50
384,18.6,82.2,63.1,39.0,0.5,Dier,50,517,73,2.2,
385,13.1,46.8,49.7,35.0,0.1,Dembl,50,288,58,2.0,
387,68.5,182.0,276.2,226.0,0.7,Eriksen,97,499,163,7.0,
388,54.3,135.2,179.8,227.0,0.5,Alli,95,531,100,5.5,
389,6.2,23.4,25.2,14.0,0.0,Wanyama,49,98,14,1.5,0
390,23.6,30.6,86.0,120.0,0.2,Son,80,201,39,1.8,100
391,2.7,22.0,4.8,0.0,0.1,Winks,48,32,17,1.0,100
393,19.3,33.0,109.5,51.0,0.5,Sissoko,54,303,37,1.8,100
394,72.9,153.4,91.3,483.0,0.7,Kane,125,532,102,5.3,
397,9.5,95.0,0.1,0.0,0.7,Gomes,45,540,119,3.8,
398,5.0,47.4,0.9,2.0,0.5,Kaboul,44,151,35,3.5,0
400,5.3,42.0,10.5,0.0,0.0,Prdl,44,180,48,6.0,0
401,25.6,113.4,129.0,13.0,0.4,Holebas,50,450,92,3.2,100
402,11.1,67.0,1.8,42.0,0.0,Britos,45,203,40,3.3,0
403,11.8,101.0,10.8,6.0,0.5,Kabasele,45,368,72,2.8,100
404,9.4,70.6,15.3,7.0,0.4,Janmaat,49,135,34,2.3,100
405,5.7,57.4,0.2,0.0,0.2,Mariappa,40,209,24,0.7,100
407,17.1,97.2,61.0,12.0,1.0,Kiko Femena,45,403,115,6.0,100
408,16.4,54.2,61.5,48.0,0.7,Cleverley,50,513,69,3.0,100
409,7.0,39.0,13.8,17.0,0.1,Capoue,52,75,23,2.3,
412,8.0,22.8,46.5,10.0,0.0,Amrabat,50,198,11,2.0,0
414,27.9,137.0,74.9,66.0,0.8,Doucour,52,540,117,4.7,
417,5.9,28.4,13.6,17.0,0.3,Deeney,64,33,25,1.8,100
418,8.4,35.2,15.6,33.0,0.0,Okaka,54,62,26,7.0,
421,8.9,78.4,10.0,0.0,0.7,Foster,45,540,107,4.0,
422,16.3,98.8,53.6,10.0,0.1,Nyom,50,438,108,4.2,
423,4.1,38.6,2.2,0.0,0.5,Evans,49,270,45,2.3,100
424,16.3,96.0,25.9,40.0,0.5,Dawson,50,540,100,3.7,100
426,10.7,32.8,60.4,13.0,0.3,Livermore,50,402,47,2.4,100
428,14.5,56.0,40.4,47.0,0.6,Morrison,55,205,35,3.3,100
429,3.3,13.2,1.5,18.0,0.0,Yacob,45,110,6,1.5,100
430,13.5,30.6,60.6,44.0,0.0,McClean,50,182,24,1.8,100
432,22.3,58.2,124.4,42.0,0.3,Phillips,60,415,51,3.0,100
433,1.6,11.8,1.6,2.0,0.0,Field,45,154,12,3.0,
434,17.6,65.8,105.6,5.0,0.2,Brunt,55,341,69,4.3,75
436,8.5,40.4,4.1,46.0,0.2,Robson-Kanu,49,119,26,1.5,100
437,31.0,65.4,60.6,184.0,0.3,Rodriguez,58,534,31,2.3,
440,21.2,92.2,43.5,76.0,1.4,Fonte,49,343,84,5.3,
